country,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011
Luxembourg,12,9,10,7,11,17,15,23,22,26,27.8,17.9,33.6,32.1,28.9,40.1,45.5,39.4,38.4,61.7,58.8,65,73.4,111.2,136.8,149.4,204.1,13006.65247,18912.70216,23386.82267,26279.40229,27736.8386,34872.09687,37249.90117,41234.18451,41750.8423,45779.89571,53177.39097,52219.17702,46394.81874,47893.06972,51728.29824,48826.54579,47558.37221,52190.06556,64422.27899,74674.13317,79595.53408,88400.20327,102523.3949,112477.0611,100735.3519,102863.0957,113731.6515
Latvia,,0,0,,,,,37,180,159,162.9,143.5,159.3,161.6,179.3,149.5,165.4,174.7,132.6,157.3,134,120,146.8,160.7,161.6,133.9,203.5,,,,,,,,,,,2366.543172,2436.027801,2847.946394,3148.334917,3503.541529,4169.732279,4466.045269,4987.188818,5631.261915,6746.063847,7634.193539,9746.23509,14064.19907,16383.01708,12212.49563,11379.23564,13749.22334
Morocco,,76,68,113,108,97,128,170,164,182,239.8,273.9,297.4,376,437.8,466.1,457.5,466,400.3,417.1,443.2,399.5,378.6,413.3,390.7,350.4,385.8,627.5308893,804.4711781,869.5401414,1016.672332,1023.178601,1145.922574,1209.896964,1227.791774,1134.99663,1262.733439,1356.326784,1487.682843,1321.28786,1400.840877,1373.906001,1265.395038,1275.459235,1352.317069,1650.282638,1867.32994,1931.759249,2107.896017,2389.694886,2791.99391,2822.072839,2782.671797,3001.177816
Monaco,,13,16,9,6,10,9,14,11,15,13.6,20.7,13.3,20,22.7,10.8,20.1,18.1,26.6,26.3,23.5,18.6,14.1,15.7,23.4,22.2,19.6,37552.05564,52162.26894,63049.66215,68427.20662,68574.24526,84289.55954,83727.0488,91651.04996,85421.72583,89415.82812,101963.2221,101315.7077,90909.10287,93110.98102,91398.3113,82537.44647,82542.36444,89009.22023,108889.2173,123289.4941,126599.4033,135629.6057,170472.2849,193648.1322,152877.3657,145221.1916,163351.6467
Moldova,,0,0,,,,,15,156,159,137.1,119.4,108.3,92.1,93.4,98.7,72.7,73.6,83.1,67.6,89.1,85.3,69.8,73.2,79.8,64.9,76.2,,,,,,972.0930952,835.4662824,625.807719,640.857304,461.2068119,476.99268,462.1720172,528.1777761,448.8413622,321.0267965,354.001279,407.7302432,458.6778168,548.2896867,720.9409321,831.2036369,950.6482044,1230.434685,1695.972811,1525.526119,1631.535832,1970.571373
Madagascar,,,,,,,,,,,15.9,16.6,16,19.9,20.9,28.7,30,23,36,27.8,33.5,46.2,47.9,38,34.9,40.5,32.7,286.3297623,317.4368739,242.8775092,224.5414738,222.9305532,266.8922556,222.9855792,246.614824,266.5990563,228.3049883,234.892771,287.7713967,247.4504622,252.7817884,243.566786,246.282641,278.9874499,262.7418198,317.4220317,245.6704529,275.5158225,292.9908976,379.0672587,472.3790916,417.1783021,414.1427872,456.3293071
Maldives,,0,0,0,0,0,1,1,0,0,1,1.5,0,1.8,2,0,1.8,0.5,1.1,1,1,2.2,1.5,0.7,2.6,1.5,0.3,670.8217291,722.9464493,695.7041081,803.5498797,875.2379243,963.7510932,1064.358701,1206.734753,1330.54275,1433.497473,1570.389873,1734.454488,1917.340153,1998.196016,2139.694441,2226.721729,3099.482544,3139.319558,3537.008436,4008.575787,3671.881974,4754.51409,5533.806444,6596.89122,6630.682554,7013.354284,7266.888906
Mexico,740,866,933,884,1046,1038,1082,1336,1502,1663,1937.3,2123.9,2301.7,2658.9,2883.5,2970.7,3202.8,3320.2,3658.5,3870,3931.6,3998.2,4223.6,4256.8,4127.7,,,2385.757782,1639.74041,1740.869013,2227.405173,2657.600428,3068.702424,3600.045185,4080.452175,5544.932462,5690.674713,3640.833419,4131.805706,4907.333152,5038.629775,5722.122139,6649.716534,6952.289039,7023.787276,6673.166974,7115.121769,7893.968234,8680.60388,9222.883997,9578.570567,7661.208413,8861.493697,9730.277753
Marshall Islands,,0,0,0,0,0,0,3,1,1,1.8,2,2.6,0,1.2,0.3,0.2,0.5,0.5,0.8,0.5,0.7,0,0.3,0.8,0.3,0.3,1144.649658,1392.657264,1494.329506,1604.248462,1589.024949,1659.112051,1701.841959,1844.052489,1987.153361,2136.761769,2356.526852,2156.896317,2056.001496,2093.564732,2073.486695,2126.832872,2206.656116,2391.347403,2434.761306,2517.693389,2645.981405,2757.584485,2877.890517,2925.740602,2907.362245,3126.516365,3291.842561
"Macedonia, FYR",,0,0,0,0,0,0,1,27,33,30.8,39.1,53.8,37.1,48.8,56.3,67.7,54.2,57,52.6,42.8,41.5,57.5,46.4,57.2,59.4,77.3,,,,,,2240.140336,2360.997767,1171.765224,1297.859337,1728.51997,2277.591662,2258.159155,1896.728201,1799.701449,1837.230159,1875.127151,1835.013622,1980.753134,2431.838642,2787.773056,3063.596462,3351.304879,4063.744425,4821.542494,4566.343921,4561.178364,5079.959208
Mali,,12,6,12,7,8,8,6,9,13,13.2,15.9,12.9,15.6,10.7,11.7,11.5,17.7,16.6,23.5,24.3,25,19.4,19.5,25,23.8,28.6,167.7353538,210.914419,239.2546455,237.8263688,241.2412318,285.4457779,279.3678455,320.8341601,293.2685606,187.8491791,255.8086857,264.5262624,243.4289496,248.6235128,239.4094537,219.2901733,231.1636197,285.1505086,360.864247,390.7201836,411.8592812,460.0053114,519.3165673,614.3176392,610.0541643,621.223023,680.8278902
Malta,,3,5,3,11,14,8,12,15,13,18.2,11.5,22.6,20.2,18.6,17.7,20.6,23.4,38.9,21,25.5,20.1,22.5,44.9,38.2,33.4,45.8,3322.308159,4194.533622,5083.801082,5814.449842,6040.839467,7192.394285,7688.027507,8365.0131,7428.475601,8149.416324,9717.501938,9852.310011,9683.145408,10091.2798,10301.42329,10377.03732,9967.790407,10849.75028,12844.58799,14064.2296,14834.43237,15705.34022,18356.96828,20895.7805,19636.00628,19694.08316,22347.70842
Myanmar,,8,14,15,9,9,7,13,9,14,15.6,5.2,4.3,5.3,9.9,7.3,5.8,6.7,6.4,8.7,11.2,15.5,13.4,10,10.2,7.5,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,6.6,14.7,19.7,10.6,25.9,27.8,,,,,,,,,,,,,,,,1627.042893,1909.635435,2106.339013,2789.081582,3380.199535,3674.52653,4383.595097,5957.145693,7325.703474,6698.079439,6636.875029,7249.876624
Mongolia,,9,12,13,11,12,14,12,14,12,8.3,18.9,16.9,8.6,12.2,12.1,19,16.1,18.4,20.1,21.5,21.1,21.6,26.9,41.8,38.9,24.8,1137.687986,1465.446919,1485.538165,1533.443572,1670.694431,1172.443066,1072.634868,587.3003521,339.5194007,405.9719883,631.915161,580.9100758,505.6031387,477.35013,445.0063899,474.2129566,524.024766,571.5383906,646.1191681,797.9051521,998.8222994,1334.405712,1633.384335,2138.37674,1717.073137,2650.346885,3772.931547
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,10,8,8,6,4,8,7,13,7,12.8,6.6,9.5,14.6,13.9,9.9,14.3,12.6,9.1,12.9,24.2,20.9,23.9,24.7,28.6,24.1,37.9,340.2458765,398.580888,179.1030169,159.5053308,175.5510603,187.863818,200.3633183,138.616112,137.2270842,140.777341,141.1912983,197.5360069,225.8074385,249.7187802,255.2189768,235.9814009,216.8461113,217.1375662,234.146982,277.6371436,311.3843054,326.4313156,407.6778547,480.5534267,453.2555624,416.0593364,527.5282909
Mauritania,,3,1,0,2,1,1,0,4,2,2.1,3.5,2.1,1.7,2.2,5.4,6.5,6.5,7.1,3.9,7.1,6.2,3.3,1.7,2.9,3,5.8,386.6722945,442.1954532,487.7463588,499.6125477,498.5242449,503.838721,693.8203377,684.2155898,567.588971,580.5384571,606.3913117,600.1377127,566.1714107,538.9589655,534.5120054,477.1129881,463.2714185,459.1255459,525.4587743,598.2105479,692.5759654,937.9827017,1008.554705,1180.549514,1045.790408,1207.827457,1390.928622
Mauritius,,2,1,3,2,8,7,5,8,12,6.4,5.1,3.3,8.2,16.7,13.2,14.6,23.6,13.5,20,15.4,19,17.8,21.1,21.5,24.8,15.9,1058.90598,1428.537339,1822.975601,2054.639922,2084.262363,2506.184933,2669.326282,2973.205388,2973.793609,3197.336956,3599.551751,3899.442433,3646.637842,3593.241569,3651.231078,3861.038542,3792.187576,3957.512905,4623.351784,5229.873567,5116.039642,5455.06563,6285.78905,7749.318438,7082.2957,7772.100057,8984.629769
Malawi,,21,12,28,24,27,27,15,29,37,38.3,45.5,40.3,30.9,36.4,43.6,44.2,48.5,43.1,42.3,40.5,46.7,62.9,53.7,52.5,55.1,56.7,157.0090616,155.3958909,145.9053706,160.0664765,175.2657589,199.8920809,229.4346495,185.8457706,213.5208354,121.5144013,142.2661985,227.9496562,259.5642989,165.7193407,163.1898022,155.7643582,149.3672432,226.0768307,200.5426971,211.5738168,216.1146186,237.6982592,270.241146,307.5778976,351.0797566,365.5165695,369.6043472
Malaysia,,186,192,208,241,233,260,247,293,345,365.8,362.2,349,387.1,471.4,459.6,472.4,494.5,479.3,586.1,614.6,724.1,808.1,951,1351.3,1607.7,2092.2,2015.450329,1741.062055,1926.643859,2050.448578,2193.958631,2417.416598,2626.097529,3080.062905,3395.525921,3686.094451,4286.16895,4743.518822,4593.189321,3228.157932,3456.465964,4004.545955,3878.771409,4132.678525,4431.239455,4924.585852,5564.185469,6194.700434,7240.73558,8486.547605,7312.003684,8802.91349,10125.88166
Namibia,,0,0,0,0,14,11,13,11,17,9.6,18.2,13.3,18.3,14.7,12.6,17.3,21.6,19.7,12.3,23.4,20.6,14.1,16.3,13.6,9.7,13,1405.785984,1520.56914,1852.504065,1922.410315,1871.793321,1981.251916,2054.852234,2278.083364,2063.787252,2264.655805,2383.303799,2313.482846,2333.592998,2114.203164,2056.16929,2059.400607,1836.75941,1716.888282,2489.877763,3298.905481,3582.24386,3884.646834,4195.869853,3999.625558,4123.500332,5139.053609,5540.325234
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,5534.631413,7634.3344,9271.735404,12665.66323,13092.26473,14800.02869,15133.16224,16261.29693,16640.80235,16037.02524,18721.05644,18257.21505,16341.58735,15387.86958,14611.8328,12579.59511,,,,,,,,,,,
